x,y
2073,1166
1088,3812
2653,963
1523,1493
1187,2453
2514,1706
2571,3152
2582,2532
1555,3619
3697,2020
312,1161
2590,529
659,3461
72,2393
2168,2932
1159,554
561,1985
168,657
1713,2029
1584,348
2815,3841
2076,1777
1452,3097
974,1131
257,3711
668,457
68,1975
3252,1328
2069,615
1842,2571
3241,573
272,214
3912,3671
3176,3153
421,3022
3948,2500
3341,1747
809,1560
707,2579
3404,2624
3437,3541
3766,1143
1693,879
2436,149
2937,2314
1042,2934
3807,611
2488,2142
1852,3919
3425,176
